"Series";"Time";"Value"
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-16T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-17T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-17T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-18T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-18T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-19T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-19T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-20T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-20T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-21T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-21T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-22T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-22T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-23T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-23T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-24T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-24T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-25T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-25T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-26T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-26T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-27T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-27T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-28T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-28T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-29T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-29T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-30T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-30T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-31T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-03-31T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-01T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-01T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-02T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-02T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-03T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-03T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-04T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-04T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-05T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-05T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-06T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-06T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-07T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-07T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-08T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-08T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-09T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-09T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-10T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-10T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-11T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-11T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-12T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-12T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-13T00:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-13T12:00:00-07:00";null
"gke-fall-2019-core-highmem-8-pool-0b8cbb76-h780";"2019-04-14T00:00:00-07:00";null
