class,timestamp,org,repo,size_KB,size,pull_count,errors
COGSCI 1,2019-09-11 19:00:00,ds-modules,COGSCI-1,185.0,145.0,4,501.25
COGSCI 1,2019-09-11 20:00:00,ds-modules,COGSCI-1,26153.0,145.0,7,0.0
COGSCI 1,2019-09-11 22:00:00,ds-modules,COGSCI-1,185.0,145.0,5,0.0
COGSCI 1,2019-09-11 23:00:00,ds-modules,COGSCI-1,185.0,145.0,46,0.0
COGSCI 1,2019-09-12 00:00:00,ds-modules,COGSCI-1,185.0,145.0,2,0.0
COGSCI 1,2019-09-12 01:00:00,ds-modules,COGSCI-1,185.0,145.0,1,0.0
COGSCI 1,2019-09-12 02:00:00,ds-modules,COGSCI-1,185.0,145.0,1,0.0
COGSCI 1,2019-09-12 04:00:00,ds-modules,COGSCI-1,185.0,145.0,1,0.0
COGSCI 1,2019-09-12 11:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-12 17:00:00,ds-modules,COGSCI-1,26153.0,145.0,21,0.0
COGSCI 1,2019-09-12 20:00:00,ds-modules,COGSCI-1,185.0,145.0,1,0.0
COGSCI 1,2019-09-12 21:00:00,ds-modules,COGSCI-1,26153.0,145.0,12,0.0
COGSCI 1,2019-09-12 22:00:00,ds-modules,COGSCI-1,26153.0,145.0,13,0.0
COGSCI 1,2019-09-12 23:00:00,ds-modules,COGSCI-1,26153.0,145.0,15,0.0
COGSCI 1,2019-09-13 00:00:00,ds-modules,COGSCI-1,16815.0,145.0,7,0.0
COGSCI 1,2019-09-13 02:00:00,ds-modules,COGSCI-1,26153.0,145.0,10,0.0
COGSCI 1,2019-09-13 03:00:00,ds-modules,COGSCI-1,26153.0,145.0,16,0.0
COGSCI 1,2019-09-13 04:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-13 05:00:00,ds-modules,COGSCI-1,26153.0,145.0,11,0.0
COGSCI 1,2019-09-13 06:00:00,ds-modules,COGSCI-1,26153.0,145.0,2,0.0
COGSCI 1,2019-09-13 07:00:00,ds-modules,COGSCI-1,26153.0,145.0,2,302.5
COGSCI 1,2019-09-13 16:00:00,ds-modules,COGSCI-1,185.0,145.0,7,0.0
COGSCI 1,2019-09-13 17:00:00,ds-modules,COGSCI-1,26153.0,145.0,9,0.0
COGSCI 1,2019-09-13 18:00:00,ds-modules,COGSCI-1,26153.0,145.0,10,0.0
COGSCI 1,2019-09-13 19:00:00,ds-modules,COGSCI-1,31983.0,145.0,2,125.0
COGSCI 1,2019-09-13 20:00:00,ds-modules,COGSCI-1,26153.0,145.0,5,0.0
COGSCI 1,2019-09-13 21:00:00,ds-modules,COGSCI-1,31983.0,145.0,5,0.0
COGSCI 1,2019-09-13 22:00:00,ds-modules,COGSCI-1,185.0,145.0,21,0.0
COGSCI 1,2019-09-13 23:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-14 00:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-14 04:00:00,ds-modules,COGSCI-1,26153.0,145.0,10,0.0
COGSCI 1,2019-09-14 06:00:00,ds-modules,COGSCI-1,26153.0,145.0,20,0.0
COGSCI 1,2019-09-14 14:00:00,ds-modules,COGSCI-1,88000.0,145.0,1,0.0
COGSCI 1,2019-09-14 16:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-14 17:00:00,ds-modules,COGSCI-1,26153.0,145.0,8,0.0
COGSCI 1,2019-09-14 19:00:00,ds-modules,COGSCI-1,26153.0,145.0,2,414.99827084053817
