Repository,Type,#,User,Title,State,Created,Updated,URL
berkeley-dsep-infra/datahub,Issue,1126,yuvipanda,Switch to SSD base disks for user nodes,open,10/22/19 16:01:09,10/23/19 12:58:16,https://github.com/berkeley-dsep-infra/datahub/issues/1126
berkeley-dsep-infra/datahub,Issue,1125,yuvipanda,data100 hub logs filling up hub disk,open,10/22/19 14:40:43,10/22/19 15:14:01,https://github.com/berkeley-dsep-infra/datahub/issues/1125
berkeley-dsep-infra/datahub,Issue,1124,felder,Upgrade k8s to patch new security issues,open,10/18/19 16:00:36,10/18/19 16:01:15,https://github.com/berkeley-dsep-infra/datahub/issues/1124
berkeley-dsep-infra/datahub,Issue,1048,felder,Create github account for use by circleci to deal with github api access limits,open,09/20/19 13:26:49,09/20/19 13:26:49,https://github.com/berkeley-dsep-infra/datahub/issues/1048
berkeley-dsep-infra/datahub,Issue,965,ericvd-ucb,Fix Download as PDF options,open,08/27/19 15:44:40,08/27/19 15:45:13,https://github.com/berkeley-dsep-infra/datahub/issues/965
berkeley-dsep-infra/datahub,Issue,962,ybh0822,Physics 188/288 setup for Jupyterhub,open,08/26/19 16:22:22,08/28/19 14:05:03,https://github.com/berkeley-dsep-infra/datahub/issues/962
berkeley-dsep-infra/datahub,Issue,956,mcb288,Need key/secret for MCB 200,open,08/23/19 14:50:53,08/23/19 18:40:14,https://github.com/berkeley-dsep-infra/datahub/issues/956
berkeley-dsep-infra/datahub,Issue,877,ryanlovett,Create an image just for Data 8,open,07/22/19 13:33:23,07/22/19 13:33:23,https://github.com/berkeley-dsep-infra/datahub/issues/877
berkeley-dsep-infra/datahub,Issue,876,ryanlovett,Make docker images more public,open,07/22/19 13:30:47,07/22/19 13:30:47,https://github.com/berkeley-dsep-infra/datahub/issues/876
berkeley-dsep-infra/datahub,Issue,840,rohannarain,"Datahub ""Unknown error"" when accessing notebooks",open,07/18/19 15:31:19,08/01/19 12:14:03,https://github.com/berkeley-dsep-infra/datahub/issues/840
berkeley-dsep-infra/datahub,Issue,827,vipasu,Large shared datasets,open,07/15/19 14:30:03,08/01/19 16:15:56,https://github.com/berkeley-dsep-infra/datahub/issues/827
berkeley-dsep-infra/datahub,Issue,823,ryanlovett,Document Oauth setup,open,07/11/19 16:25:38,07/11/19 16:25:38,https://github.com/berkeley-dsep-infra/datahub/issues/823
berkeley-dsep-infra/datahub,Issue,802,ryanlovett,"Stuck kernels, blank notebooks",open,07/05/19 11:47:38,09/01/19 14:43:50,https://github.com/berkeley-dsep-infra/datahub/issues/802
berkeley-dsep-infra/datahub,Issue,797,oneilsh,"pods per node, pod resource requests",open,07/03/19 15:14:48,07/03/19 15:35:45,https://github.com/berkeley-dsep-infra/datahub/issues/797
berkeley-dsep-infra/datahub,Issue,787,yuvipanda,Moving from Google Authenticator to Canvas Authenticator for all hubs,open,07/01/19 11:41:46,07/05/19 11:39:05,https://github.com/berkeley-dsep-infra/datahub/issues/787
berkeley-dsep-infra/datahub,Issue,784,chrispyles,Install voila package on datahub,open,06/27/19 16:03:44,08/28/19 12:45:28,https://github.com/berkeley-dsep-infra/datahub/issues/784
berkeley-dsep-infra/datahub,Issue,764,yuvipanda,Write RStudio add-in to display memory usage,open,06/18/19 17:09:02,06/18/19 17:09:02,https://github.com/berkeley-dsep-infra/datahub/issues/764
berkeley-dsep-infra/datahub,Issue,753,mowilk,Cannot download multiple files from root,open,06/15/19 16:52:49,06/15/19 21:06:36,https://github.com/berkeley-dsep-infra/datahub/issues/753
