p_value,word
0.001,this
0.006,after
0.003,known
0.0,side
0.001,killer
0.019,business
0.009,seem
0.028,follows
0.03,become
0.003,house
0.0,meets
0.017,aunt
0.012,each
0.001,making
0.002,place
0.0,only
0.009,foot
0.0,perform
0.036,lore
0.038,give
0.031,found
0.047,front
0.024,women
0.035,ours
0.001,behind
0.004,kill
0.01,attempt
0.003,disco
0.004,mysterious
0.015,king
0.013,less
0.049,turn
0.001,begin
0.002,years
0.001,range
0.011,discover
0.005,through
0.012,take
0.0,group
0.004,film
0.041,gain
0.0,great
0.02,trip
0.009,care
0.049,couple
0.042,even
0.027,party
0.003,cove
0.004,down
0.0,dire
0.01,story
0.04,father
0.009,disc
0.047,under
0.003,ller
0.008,busi
0.007,direct
0.002,light
0.018,does
0.002,dangerous
0.007,break
0.005,evil
0.002,host
0.001,survive
0.037,meet
0.03,realize
0.0,murder
0.014,college
0.005,documentary
0.02,self
0.042,super
0.006,across
0.026,cover
0.004,rough
0.002,cross
0.001,hard
0.037,brother
0.001,childhood
0.018,small
0.02,director
0.0,feat
0.005,danger
0.002,dang
0.003,between
0.003,mean
0.016,christmas
0.018,year
0.046,press
0.005,ross
0.001,dark
0.0,follow
0.002,document
0.0,first
0.009,brea
0.001,anger
0.005,strange
0.002,hunt
0.0,secret
0.004,takes
0.014,fall
0.0,music
0.029,which
0.002,soon
0.017,know
0.0,them
0.032,wing
0.0,comedy
0.001,form
0.02,test
0.04,mall
