word,count
with,941
that,667
when,646
heir,577
from,572
their,567
over,523
ring,510
come,439
life,431
other,428
they,409
king,383
ever,373
find,373
into,365
year,333
this,332
after,332
thin,325
world,323
friend,320
sing,311
young,308
cove,303
take,295
cover,293
love,283
here,281
turn,277
will,265
story,265
film,265
thing,258
live,256
time,249
family,241
home,240
some,240
ends,240
disc,239
even,239
form,238
them,236
very,234
self,230
star,224
ears,217
disco,214
real,213
discover,211
bout,208
rough,208
about,206
part,204
make,203
have,198
through,198
what,198
land,193
iona,193
become,189
more,188
must,188
side,188
long,187
back,186
each,184
only,184
work,180
ming,178
girl,178
rate,178
woman,177
rica,176
able,175
moth,175
know,174
night,173
most,173
amer,172
force,171
while,171
mate,170
where,169
mother,168
cide,168
friends,168
kill,167
inter,167
stan,166
ship,165
finds,164
reve,162
comes,162
just,162
town,161
count,160
port,160
takes,159
every,158
than,153
anger,152
band,152
years,152
chris,151
follow,149
less,148
child,147
hers,146
secret,145
eric,145
first,144
group,144
under,142
rent,140
christ,139
unit,139
late,139
range,139
high,137
begin,137
face,136
gain,136
meet,136
round,135
house,135
erica,134
return,134
past,133
best,131
erin,131
call,131
plan,130
help,129
down,129
america,128
turns,127
brea,126
event,126
which,125
teen,125
nation,124
like,124
father,123
daughter,123
ller,123
power,122
mysterious,122
show,122
murder,122
dark,121
miss,120
lead,120
fight,120
tori,119
rest,118
been,118
journey,118
feat,117
wing,116
strange,115
test,113
fall,112
stop,112
arch,111
city,111
again,111
between,111
break,110
dead,110
once,109
mall,109
stud,109
document,108
dire,108
missi,108
save,108
school,107
hose,107
ties,106
human,106
sent,106
hang,105
dang,105
elation,105
there,105
becomes,105
list,104
christmas,104
small,104
danger,104
during,103
together,103
lives,102
direct,101
before,101
soon,100
right,100
start,100
three,100
team,99
music,99
quest,99
tell,99
special,98
ross,98
cape,97
himself,97
being,96
care,96
want,96
hood,95
lose,95
great,95
relation,95
relations,94
play,94
true,94
last,94
earn,94
american,94
another,93
cross,93
relationship,93
people,93
hear,93
documentary,93
head,92
order,92
name,91
covers,91
couple,91
pass,91
person,90
look,90
learn,90
super,90
hall,89
ward,89
nage,88
things,88
death,87
meets,87
deep,86
rain,86
hand,86
stand,86
give,85
gets,85
returns,85
decide,85
line,85
perform,85
aren,84
forced,83
cult,83
rage,82
seem,82
expect,81
threat,80
term,80
begins,79
escape,79
sister,79
goes,79
well,78
lows,78
nate,78
gains,78
student,78
herself,77
place,77
coming,77
front,77
known,77
gate,77
rise,76
ours,76
venture,76
sona,76
discovers,76
ants,75
mark,75
success,75
tate,75
appear,75
bring,74
search,74
light,74
director,74
against,74
final,74
brother,74
ruth,74
dream,73
elves,73
join,73
hard,73
enter,73
wife,73
sign,73
foot,72
behind,72
expected,72
heart,72
survive,71
these,71
local,71
game,71
never,71
struggle,71
earth,71
host,71
crim,71
change,70
tree,70
angel,70
close,70
across,70
arts,70
days,69
party,69
reveal,69
action,69
former,68
series,68
unity,68
along,68
came,68
attempt,68
race,68
deal,68
away,68
persona,68
around,68
dangerous,67
tale,67
adventure,67
college,67
move,67
allen,67
busi,67
husband,66
both,66
national,66
anti,66
does,65
view,65
wood,65
base,65
vents,65
room,65
counter,65
making,64
aged,64
uses,64
visit,64
realize,64
also,64
four,64
class,64
women,64
killer,64
events,63
media,63
living,63
follows,63
tall,63
travel,63
state,63
evil,63
lore,62
lost,62
unexpected,62
beau,62
childhood,62
comedy,62
holiday,60
week,60
trip,60
mind,60
history,60
found,60
encounter,59
full,59
stories,59
road,59
used,59
lack,59
short,58
hunt,58
teenage,58
personal,58
accident,58
unite,58
themselves,58
step,58
press,58
free,58
connect,57
fear,57
country,57
many,57
gran,57
mean,57
prot,57
lone,57
question,56
park,56
prof,56
business,56
experience,56
lies,56
book,56
everything,56
hope,56
train,55
cause,55
aunt,55
future,55
roman,55
then,55
until,55
using,55
left,55
loved,55
believe,54
street,54
rian,54
perfect,54
decides,53
bell,53
york,53
demo,53
missing,53
career,53
mill,52
need,52
terror,52
seek,52
wild,52
based,52
eaten,52
parents,52
ames,52
artist,52
boyfriend,52
keep,52
happen,51
hands,51
teach,51
anne,51
video,51
truth,51
something,51
next,51
were,51
case,51
lock,51
feel,51
spirit,51
chance,51
gina,51
grow,51
mental,51
shed,51
